"id","source_id","source","type","user_name","created_at","fetched_at","link","image","flagged"
1089,"273864989376427_1044193889010196","facebook","link","MSNBC","2015-10-31 16:25:08-04","2015-10-31 16:41:42.374-04","https://www.facebook.com/273864989376427_1044193889010196","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBApBA0DLh1_2mr&w=130&h=130&url=http%3A%2F%2Fwww.msnbc.com%2Fsites%2Fmsnbc%2Ffiles%2Farticles%2Fgettyimages-180777078.jpg&cfs=1&sx=753&sy=0&sw=1400&sh=1400",
1095,"273864989376427_1044123005683951","facebook","video","MSNBC","2015-10-31 13:28:16-04","2015-10-31 16:41:42.396-04","https://www.facebook.com/273864989376427_1044123005683951","https://scontent.xx.fbcdn.net/hvthumb-xtp1/v/t15.0-10/s130x130/12109468_1044126819016903_1314676554_n.jpg?oh=1074c9da1f10c9a5a53d5293a77ec488&oe=56C96235",
1084,"5550296508_10154184614826509","facebook","link","CNN","2015-10-31 13:31:04-04","2015-10-31 16:41:40.258-04","https://www.facebook.com/5550296508_10154184614826509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAgwmBrlxVV2neb&w=130&h=130&url=http%3A%2F%2Fi2.cdn.turner.com%2Fcnnnext%2Fdam%2Fassets%2F141009104840-teal-pumpkin-project-halloween-large-169.jpg&cfs=1",
1109,"273864989376427_1043771382385780","facebook","link","MSNBC","2015-10-30 21:00:00-04","2015-10-31 16:41:42.397-04","https://www.facebook.com/273864989376427_1043771382385780","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCab2TqEoDO8nSo&w=130&h=130&url=http%3A%2F%2Fwww.msnbc.com%2Fsites%2Fmsnbc%2Ffiles%2Fgettyimages-139937125.jpg&cfs=1&sx=562&sy=0&sw=1400&sh=1400",
108,"1104433982810109917_178784364","instagram","post","russdubb","2015-10-26 13:00:12-04","2015-10-26 13:19:12.647-04","https://instagram.com/p/9TvNsXRDfd/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/12105252_1498362303824667_1827104977_n.jpg",TRUE
117,"1104438227152008069_2000434219","instagram","post","forever_precise","2015-10-26 13:08:38-04","2015-10-26 13:19:12.653-04","https://instagram.com/p/9TwLdNwfOF/","https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/12142733_940863685991689_307697499_n.jpg",
127,"1104426881357008119_383717898","instagram","post","barbiejoss.la21","2015-10-26 12:46:05-04","2015-10-26 13:19:12.658-04","https://instagram.com/p/9TtmWnrUz3/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/c0.135.1080.1080/12145227_503004969860197_1315641266_n.jpg",
1097,"273864989376427_1044079179021667","facebook","link","MSNBC","2015-10-31 11:45:11-04","2015-10-31 16:41:42.389-04","https://www.facebook.com/273864989376427_1044079179021667","https://external.xx.fbcdn.net/safe_image.php?d=AQDtHId7L3QFchb3&w=130&h=130&url=http%3A%2F%2Fwww.msnbc.com%2Fsites%2Fmsnbc%2Ffiles%2Frtx1qsz0.jpg&cfs=1",TRUE
1367,"273864989376427_1046660432096875","facebook","video","MSNBC","2015-11-05 07:01:25-05","2015-11-05 12:06:08.59-05","https://www.facebook.com/273864989376427_1046660432096875","https://external.xx.fbcdn.net/safe_image.php?d=AQCUujDqRDsGsSDL&w=130&h=130&url=http%3A%2F%2Fmedia1.s-nbcnews.com%2Fj%2FMSNBC%2FComponents%2FVideo%2F__NEW%2F2015-11-05T01-33-16-566Z--1280x720.video_1067x600.jpg&cfs=1&sx=47&sy=0&sw=600&sh=600",
1081,"5550296508_10154184728311509","facebook","link","CNN","2015-10-31 14:31:01-04","2015-10-31 16:41:40.255-04","https://www.facebook.com/5550296508_10154184728311509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQB-R3DwH3rTnz4-&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQI_ikFYoVqs31BxtICxETyxh2XzEn9l8FRCK1Csdv1LcJxuUBucc_QNYj6P6Gx_XurULBo3Udkhmw2K9dNvd4EcNo7ljuTzmUnZx3nGWjALVYrBJ287nt0BVE36zLvTT0rRRqIxt7_btG-_k3wsgmKx&cfs=1",
1377,"273864989376427_1046452135451038","facebook","link","MSNBC","2015-11-04 19:00:33-05","2015-11-05 12:06:08.597-05","https://www.facebook.com/273864989376427_1046452135451038","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBMjZfobuVeHwJg&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQK0vaWhx2BsvjpGAxpTWvseID4vCy3EEGUD0k-EsFFdEtSv_bYQi99aPASDUgpvnsnLvzGjB1saVw2vIqxXUkXHQ3UeB_GRxOu5W7Rc2fUmYnceV4fSixlIixfrNhW-HT3b_n1zTbWD2eyEgrXSRAM3&cfs=1&sx=546&sy=0&sw=1365&sh=1365",
1107,"273864989376427_1043809835715268","facebook","video","MSNBC","2015-10-30 22:01:05-04","2015-10-31 16:41:42.395-04","https://www.facebook.com/273864989376427_1043809835715268","https://scontent.xx.fbcdn.net/hvthumb-xft1/v/t15.0-10/s130x130/10676100_1043812105715041_1439602412_n.jpg?oh=021d42179ec726c169c56a185cc2b969&oe=56C5E4EF",
109,"1104433637292064764_1579724686","instagram","post","toketime","2015-10-26 12:59:30-04","2015-10-26 13:19:12.648-04","https://instagram.com/p/9TvIqkyT_8/","https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e35/12145445_1200658446614972_1724182296_n.jpg",
118,"1104437947777245539_2098713671","instagram","post","beez.314","2015-10-26 13:08:04-04","2015-10-26 13:19:12.653-04","https://instagram.com/p/9TwHZBuWFj/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/12080560_1641540956098457_1961521260_n.jpg",TRUE
